동아리 ID,동아리명,위치,QR 코드
club1,글로벌리더십,본관,9pm6lm2o
club2,그대의말로,본관,tsj5d5m3
club3,레드타이,본관,81m0yjoh
club4,mRNA,본관,ei3a03yc
club5,나라사랑,본관,6r4kdqu4
club6,방송부,본관,0rfvy83d
club7,농구부,본관,15jn9ypy
club8,또래상담,본관,t587ywmv
club9,독수공방,본관,n9zo15xk
club10,아크매틱,본관,t2pax9w4
club11,개척,본관,ddjg5k41
club12,국과수,본관,ppm904xl
club13,가피,본관,54sknfs2
club14,에코,본관,pb26er6s
club15,여가활용부,본관,k378ueoi
club16,생각의판,후관,eolu137q
club17,정치언론부,후관,n1dvx1n4
club18,대중문화탐구,후관,1vz84gam
club19,내꿈찾아삼만리,후관,0b4shc8g
club20,축구부,후관,g5yk0xa7
club21,역사랑,후관,3c0ds7tg
club22,화생방,후관,pu7yd54j
club23,BIOHOLIC,후관,d8oob63w
club24,아이러닝,후관,s80ci3yk
club25,그루터기,후관,j5fn8uu4
